zipcode,year,month,crime_rate
02131,2015,12,0.007
02131,2016,1,0.0068
02131,2016,2,0.0067
02131,2016,3,0.0073
02131,2016,4,0.0077
02131,2016,5,0.0077
02131,2016,6,0.008
02131,2016,7,0.0087
02131,2016,8,0.0081
02131,2016,9,0.0075
02131,2016,10,0.0073
02131,2016,11,0.0069
02131,2016,12,0.0071
02131,2017,1,0.0073
02131,2017,2,0.0066
02131,2017,3,0.0077
02131,2017,4,0.0079
02131,2017,5,0.008
02131,2017,6,0.0094
02131,2017,7,0.0095
02131,2017,8,0.0082
02131,2017,9,0.0078
02131,2017,10,0.0089
02131,2017,11,0.0083
02131,2017,12,0.0069
02131,2018,1,0.0082
02131,2018,2,0.0068
02131,2018,3,0.0076
02131,2018,4,0.0076
02131,2018,5,0.008
02131,2018,6,0.0087
02131,2018,7,0.008
02131,2018,8,0.0082
02131,2018,9,0.0079
02131,2018,10,0.0003
02132,2015,6,0.0022
02132,2015,7,0.0039
02132,2015,8,0.0049
02132,2015,9,0.0045
02132,2015,10,0.0043
02132,2015,11,0.0052
02132,2015,12,0.0054
02132,2016,1,0.0052
02132,2016,2,0.0043
02132,2016,3,0.0048
02132,2016,4,0.0049
02132,2016,5,0.0046
02132,2016,6,0.0056
02132,2016,7,0.0052
02132,2016,8,0.0043
02132,2016,9,0.0048
02132,2016,10,0.0041
02132,2016,11,0.0039
02132,2016,12,0.0052
02132,2017,1,0.0047
02132,2017,2,0.0039
02132,2017,3,0.0042
02132,2017,4,0.0039
02132,2017,5,0.0046
02132,2017,6,0.0042
02132,2017,7,0.0048
02132,2017,8,0.0043
02132,2017,9,0.0057
02132,2017,10,0.0044
02132,2017,11,0.0056
02132,2017,12,0.0034
02132,2018,1,0.004
02132,2018,2,0.0039
02132,2018,3,0.0047
02132,2018,4,0.0041
02132,2018,5,0.0042
02132,2018,6,0.0048
02132,2018,7,0.0041
02132,2018,8,0.0055
02132,2018,9,0.004
02132,2018,10,0.0002
02134,2015,6,0.0052
02134,2015,7,0.0102
02134,2015,8,0.0137
02134,2015,9,0.012
02134,2015,10,0.0108
02134,2015,11,0.0086
02134,2015,12,0.0088
02134,2016,1,0.009
02134,2016,2,0.0086
02134,2016,3,0.0089
02134,2016,4,0.0108
02134,2016,5,0.0114
02134,2016,6,0.0094
02134,2016,7,0.011
02134,2016,8,0.0114
02134,2016,9,0.0116
02134,2016,10,0.0125
02134,2016,11,0.0105
02134,2016,12,0.009
02134,2017,1,0.0087
02134,2017,2,0.0093
02134,2017,3,0.0101
02134,2017,4,0.0091
02134,2017,5,0.011
02134,2017,6,0.0119
02134,2017,7,0.0129
02134,2017,8,0.0099
02134,2017,9,0.0123
02134,2017,10,0.0123
02134,2017,11,0.0099
02134,2017,12,0.0074
02134,2018,1,0.009
02134,2018,2,0.0084
02134,2018,3,0.0093
02134,2018,4,0.0085
02134,2018,5,0.011
02134,2018,6,0.0097
02134,2018,7,0.0086
02134,2018,8,0.0102
02134,2018,9,0.009
02134,2018,10,0.0009
02135,2015,6,0.0027
02135,2015,7,0.0043
02135,2015,8,0.0046
02135,2015,9,0.0054
02135,2015,10,0.0053
02135,2015,11,0.0045
02135,2015,12,0.0055
02135,2016,1,0.0057
02135,2016,2,0.0053
02135,2016,3,0.0044
02135,2016,4,0.0044
02135,2016,5,0.0048
02135,2016,6,0.0049
02135,2016,7,0.0055
02135,2016,8,0.0045
02135,2016,9,0.0048
02135,2016,10,0.0047
02135,2016,11,0.0043
02135,2016,12,0.0049
02135,2017,1,0.0044
02135,2017,2,0.0043
02135,2017,3,0.0042
02135,2017,4,0.0043
02135,2017,5,0.0056
02135,2017,6,0.0057
02135,2017,7,0.005
02135,2017,8,0.0051
02135,2017,9,0.0065
02135,2017,10,0.0058
02135,2017,11,0.0052
02135,2017,12,0.0057
02135,2018,1,0.0043
02135,2018,2,0.004
02135,2018,3,0.0049
02135,2018,4,0.0044
02135,2018,5,0.006
02135,2018,6,0.0059
02135,2018,7,0.0046
02135,2018,8,0.0055
02135,2018,9,0.0051
02135,2018,10,0.0004
02136,2015,6,0.0026
02136,2015,7,0.0053
02136,2015,8,0.0048
02136,2015,9,0.0038
02136,2015,10,0.0055
02136,2015,11,0.005
02136,2015,12,0.0045
02136,2016,1,0.0043
02136,2016,2,0.0038
02136,2016,3,0.0052
